ACCT-209-199,34,63,44,16,3,160,2.681,0,0,0,11,0,171,FOSTER C
"",21.25%,39.38%,27.50%,10.00%,1.88%,,,,,,,,,
COURSE TOTAL:,34,63,44,16,3,160,2.681,0,0,0,11,0,171,
"",21.25%,39.38%,27.50%,10.00%,1.88%,,,,,,,,,
ACCT-210-299,61,24,2,0,0,87,3.678,0,0,0,1,7,95,FARMER K
"",70.11%,27.59%,2.30%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,61,24,2,0,0,87,3.678,0,0,0,1,7,95,
"",70.11%,27.59%,2.30%,0.00%,0.00%,,,,,,,,,
ACCT-229-100,9,8,4,0,0,21,3.238,0,0,0,0,0,21,HEAD M
"",42.86%,38.10%,19.05%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,8,4,0,0,21,3.238,0,0,0,0,0,21,
"",42.86%,38.10%,19.05%,0.00%,0.00%,,,,,,,,,
ACCT-230-700,9,8,2,6,1,26,2.692,0,0,0,0,0,26,ALLEN N
"",34.62%,30.77%,7.69%,23.08%,3.85%,,,,,,,,,
COURSE TOTAL:,9,8,2,6,1,26,2.692,0,0,0,0,0,26,
"",34.62%,30.77%,7.69%,23.08%,3.85%,,,,,,,,,
ACCT-321-100,59,0,0,0,0,59,4.000,0,0,0,0,0,59,KYLLONEN C
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,59,0,0,0,0,59,4.000,0,0,0,0,0,59,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-327-101,11,13,14,1,3,42,2.604,0,0,0,3,0,45,LARKIN R
"",26.19%,30.95%,33.33%,2.38%,7.14%,,,,,,,,,
COURSE TOTAL:,11,13,14,1,3,42,2.604,0,0,0,3,0,45,
"",26.19%,30.95%,33.33%,2.38%,7.14%,,,,,,,,,
ACCT-328-200,17,12,9,2,0,40,3.100,0,0,0,0,0,40,HARDING M
"",42.50%,30.00%,22.50%,5.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,12,9,2,0,40,3.100,0,0,0,0,0,40,
"",42.50%,30.00%,22.50%,5.00%,0.00%,,,,,,,,,
ACCT-329-199,46,3,0,0,0,49,3.938,0,0,0,0,0,49,FARMER K
"",93.88%,6.12%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-329-299,68,4,0,0,0,72,3.944,0,0,0,0,0,72,FARMER K
"",94.44%,5.56%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,114,7,0,0,0,121,3.942,0,0,0,0,0,121,
"",94.21%,5.79%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-405-100,26,25,11,0,0,62,3.241,2,0,0,0,0,64,LARKIN R
"",41.94%,40.32%,17.74%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,26,25,11,0,0,62,3.241,2,0,0,0,0,64,
"",41.94%,40.32%,17.74%,0.00%,0.00%,,,,,,,,,
ACCT-407-901,2,3,1,0,0,6,3.166,0,0,0,0,0,6,DIAZ M
"",33.33%,50.00%,16.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,2,3,1,0,0,6,3.166,0,0,0,0,0,6,
"",33.33%,50.00%,16.67%,0.00%,0.00%,,,,,,,,,
ACCT-421-900,44,0,0,0,0,44,4.000,0,0,0,0,0,44,HURTA A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,44,0,0,0,0,44,4.000,0,0,0,0,0,44,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-427-100,31,27,1,0,0,59,3.508,0,0,0,0,0,59,ARNOSKY C
"",52.54%,45.76%,1.69%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,31,27,1,0,0,59,3.508,0,0,0,0,0,59,
"",52.54%,45.76%,1.69%,0.00%,0.00%,,,,,,,,,
ACCT-603-200,13,6,0,0,0,19,3.684,0,0,0,0,0,19,HARDING M
"",68.42%,31.58%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,6,0,0,0,19,3.684,0,0,0,0,0,19,
"",68.42%,31.58%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-628-201,22,6,0,0,0,28,3.785,0,0,0,1,0,29,SANDERS J
"",78.57%,21.43%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-628-202,22,12,0,0,0,34,3.647,0,0,0,0,0,34,SANDERS J
"",64.71%,35.29%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,44,18,0,0,0,62,3.709,0,0,0,1,0,63,
"",70.97%,29.03%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-629-200,14,0,0,0,0,14,4.000,0,0,0,0,0,14,SANDERS J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,0,0,0,0,14,4.000,0,0,0,0,0,14,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-640-700,8,4,0,0,0,12,3.666,0,0,0,0,0,12,FOSTER C
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,4,0,0,0,12,3.666,0,0,0,0,0,12,
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-647-200,35,5,0,0,0,40,3.875,0,0,0,0,0,40,CUFF M
"",87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,35,5,0,0,0,40,3.875,0,0,0,0,0,40,
"",87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-650-100,27,0,1,0,0,28,3.928,0,0,0,0,0,28,HEAD M
"",96.43%,0.00%,3.57%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,27,0,1,0,0,28,3.928,0,0,0,0,0,28,
"",96.43%,0.00%,3.57%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,558,223,89,25,7,902,3.415,2,0,0,16,7,927,
"",61.86%,24.72%,9.87%,2.77%,0.78%,,,,,,,,,
ANLY-605-300,25,3,0,0,0,28,3.892,0,0,0,0,0,28,SHARMA A
"",89.29%,10.71%,0.00%,0.00%,0.00%,,,,,,,,,
ANLY-605-701,17,5,1,0,0,23,3.695,0,0,0,0,0,23,SHARMA A
"",73.91%,21.74%,4.35%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,42,8,1,0,0,51,3.803,0,0,0,0,0,51,
"",82.35%,15.69%,1.96%,0.00%,0.00%,,,,,,,,,
ANLY-656-300,20,4,0,0,0,24,3.833,0,0,0,0,0,24,JONES E
"",83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
ANLY-656-701,15,7,1,0,0,23,3.608,0,0,0,0,0,23,JONES E
"",65.22%,30.43%,4.35%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,35,11,1,0,0,47,3.723,0,0,0,0,0,47,
"",74.47%,23.40%,2.13%,0.00%,0.00%,,,,,,,,,
BUAD-679-301,24,0,0,0,0,24,4.000,0,0,0,0,0,24,ALEXANDER M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
BUAD-679-701,23,0,0,0,0,23,4.000,0,0,0,0,0,23,ALEXANDER M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,47,0,0,0,0,47,4.000,0,0,0,0,0,47,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
BUAD-700-300,38,23,0,0,0,61,3.622,0,0,0,0,0,61,FLINT G
"",62.30%,37.70%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,38,23,0,0,0,61,3.622,0,0,0,0,0,61,
"",62.30%,37.70%,0.00%,0.00%,0.00%,,,,,,,,,
BUAD-701-300,57,4,0,0,0,61,3.934,0,0,0,0,0,61,GEORGE J
"",93.44%,6.56%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,57,4,0,0,0,61,3.934,0,0,0,0,0,61,
"",93.44%,6.56%,0.00%,0.00%,0.00%,,,,,,,,,
BUAD-702-300,59,2,0,0,0,61,3.967,0,0,0,0,0,61,BRADY J
"",96.72%,3.28%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,59,2,0,0,0,61,3.967,0,0,0,0,0,61,
"",96.72%,3.28%,0.00%,0.00%,0.00%,,,,,,,,,
BUSN-203-700,14,7,8,0,0,29,3.206,0,0,0,4,0,33,ARREOLA-RISA A
"",48.28%,24.14%,27.59%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,7,8,0,0,29,3.206,0,0,0,4,0,33,
"",48.28%,24.14%,27.59%,0.00%,0.00%,,,,,,,,,
IBUS-320-150,13,4,0,0,0,17,3.764,0,0,0,0,0,17,PANINA D
"",76.47%,23.53%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,4,0,0,0,17,3.764,0,0,0,0,0,17,
"",76.47%,23.53%,0.00%,0.00%,0.00%,,,,,,,,,
IBUS-402-350,42,8,0,0,0,50,3.840,0,0,0,0,0,50,KNOOP J
"",84.00%,16.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,42,8,0,0,0,50,3.840,0,0,0,0,0,50,
"",84.00%,16.00%,0.00%,0.00%,0.00%,,,,,,,,,
IBUS-403-350,17,5,0,0,0,22,3.772,0,0,0,0,0,22,MCDANIEL S
"",77.27%,22.73%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,5,0,0,0,22,3.772,0,0,0,0,0,22,
"",77.27%,22.73%,0.00%,0.00%,0.00%,,,,,,,,,
IBUS-446-150,11,4,2,0,0,17,3.529,0,0,0,0,0,17,ROSSI M
"",64.71%,23.53%,11.76%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,4,2,0,0,17,3.529,0,0,0,0,0,17,
"",64.71%,23.53%,11.76%,0.00%,0.00%,,,,,,,,,
IBUS-450-250,15,7,1,0,0,23,3.608,0,0,0,0,0,23,PANINA D
"",65.22%,30.43%,4.35%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,7,1,0,0,23,3.608,0,0,0,0,0,23,
"",65.22%,30.43%,4.35%,0.00%,0.00%,,,,,,,,,
IBUS-456-150,19,0,0,0,0,19,4.000,0,0,0,0,0,19,LEWIS D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
IBUS-456-151,23,14,3,0,0,40,3.500,0,0,0,0,0,40,MCFARLAND K
"",57.50%,35.00%,7.50%,0.00%,0.00%,,,,,,,,,
IBUS-456-250,15,12,0,0,0,27,3.555,0,0,0,0,0,27,PANINA D
"",55.56%,44.44%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,57,26,3,0,0,86,3.627,0,0,0,0,0,86,
"",66.28%,30.23%,3.49%,0.00%,0.00%,,,,,,,,,
IBUS-457-150,14,3,0,0,0,17,3.823,0,0,0,0,0,17,PANINA D
"",82.35%,17.65%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,3,0,0,0,17,3.823,0,0,0,0,0,17,
"",82.35%,17.65%,0.00%,0.00%,0.00%,,,,,,,,,
IBUS-484-351,4,1,0,0,0,5,3.800,1,0,0,0,0,6,LANE K
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,1,0,0,0,5,3.800,1,0,0,0,0,6,
"",80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,465,113,16,0,0,594,3.710,1,0,0,4,0,599
"",78.28%,19.02%,2.69%,0.00%,0.00%,,,,,,,,
FINC-341-199,105,97,32,0,0,234,3.311,0,0,0,7,0,241,LIU W
"",44.87%,41.45%,13.68%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,105,97,32,0,0,234,3.311,0,0,0,7,0,241,
"",44.87%,41.45%,13.68%,0.00%,0.00%,,,,,,,,,
FINC-342-199,3,1,1,0,0,5,3.400,0,0,0,0,0,5,YI H
"",60.00%,20.00%,20.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,1,1,0,0,5,3.400,0,0,0,0,0,5,
"",60.00%,20.00%,20.00%,0.00%,0.00%,,,,,,,,,
FINC-351-101,1,4,1,0,0,6,3.000,0,0,0,0,0,6,LEE K
"",16.67%,66.67%,16.67%,0.00%,0.00%,,,,,,,,,
FINC-351-150,17,2,0,0,0,19,3.894,0,0,0,0,0,19,ROSSI M
"",89.47%,10.53%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,6,1,0,0,25,3.680,0,0,0,0,0,25,
"",72.00%,24.00%,4.00%,0.00%,0.00%,,,,,,,,,
FINC-371-199,6,18,3,0,0,27,3.111,0,0,0,0,0,27,PETERSON J
"",22.22%,66.67%,11.11%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,18,3,0,0,27,3.111,0,0,0,0,0,27,
"",22.22%,66.67%,11.11%,0.00%,0.00%,,,,,,,,,
FINC-409-199,85,113,58,17,14,287,2.829,0,0,0,19,0,306,YI H
"",29.62%,39.37%,20.21%,5.92%,4.88%,,,,,,,,,
COURSE TOTAL:,85,113,58,17,14,287,2.829,0,0,0,19,0,306,
"",29.62%,39.37%,20.21%,5.92%,4.88%,,,,,,,,,
FINC-445-150,5,9,1,0,0,15,3.266,0,0,0,0,0,15,ROSSI M
"",33.33%,60.00%,6.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,9,1,0,0,15,3.266,0,0,0,0,0,15,
"",33.33%,60.00%,6.67%,0.00%,0.00%,,,,,,,,,
FINC-449-201,7,2,1,0,0,10,3.600,0,0,0,0,0,10,BANKS B
"",70.00%,20.00%,10.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,2,1,0,0,10,3.600,0,0,0,0,0,10,
"",70.00%,20.00%,10.00%,0.00%,0.00%,,,,,,,,,
FINC-475-199,7,6,3,0,0,16,3.250,0,0,0,1,0,17,PETERSON J
"",43.75%,37.50%,18.75%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,6,3,0,0,16,3.250,0,0,0,1,0,17,
"",43.75%,37.50%,18.75%,0.00%,0.00%,,,,,,,,,
FINC-602-101,22,15,0,0,0,37,3.594,0,0,0,0,0,37,WHITE E
"",59.46%,40.54%,0.00%,0.00%,0.00%,,,,,,,,,
FINC-602-102,17,14,1,0,0,32,3.500,0,0,0,0,0,32,ERTURK B
"",53.13%,43.75%,3.13%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,39,29,1,0,0,69,3.550,0,0,0,0,0,69,
"",56.52%,42.03%,1.45%,0.00%,0.00%,,,,,,,,,
FINC-629-101,20,19,4,0,0,43,3.372,0,0,0,0,0,43,ERTURK B
"",46.51%,44.19%,9.30%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,20,19,4,0,0,43,3.372,0,0,0,0,0,43,
"",46.51%,44.19%,9.30%,0.00%,0.00%,,,,,,,,,
FINC-632-101,7,18,0,0,0,25,3.280,0,0,0,0,0,25,DYE R
"",28.00%,72.00%,0.00%,0.00%,0.00%,,,,,,,,,
FINC-632-102,7,19,2,0,0,28,3.178,2,0,0,0,0,30,DYE R
"",25.00%,67.86%,7.14%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,37,2,0,0,53,3.226,2,0,0,0,0,55,
"",26.42%,69.81%,3.77%,0.00%,0.00%,,,,,,,,,
FINC-665-101,12,19,0,0,0,31,3.387,0,0,0,0,0,31,HALLERMANN D
"",38.71%,61.29%,0.00%,0.00%,0.00%,,,,,,,,,
FINC-665-102,17,15,0,0,0,32,3.531,0,0,0,0,0,32,HALLERMANN D
"",53.13%,46.88%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,29,34,0,0,0,63,3.460,0,0,0,0,0,63,
"",46.03%,53.97%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,338,371,107,17,14,847,3.182,2,0,0,27,0,876,
"",39.91%,43.80%,12.63%,2.01%,1.65%,,,,,,,,,
ISTM-209-199,54,44,14,8,3,123,3.121,2,0,0,5,0,130,CURTSINGER W
"",43.90%,35.77%,11.38%,6.50%,2.44%,,,,,,,,,
COURSE TOTAL:,54,44,14,8,3,123,3.121,2,0,0,5,0,130,
"",43.90%,35.77%,11.38%,6.50%,2.44%,,,,,,,,,
ISTM-210-100,3,1,0,1,0,5,3.200,0,0,0,0,0,5,JAMIESON T
"",60.00%,20.00%,0.00%,20.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,1,0,1,0,5,3.200,0,0,0,0,0,5,
"",60.00%,20.00%,0.00%,20.00%,0.00%,,,,,,,,,
ISTM-380-700,6,5,1,0,0,12,3.416,0,0,0,0,0,12,SCIALDONE M
"",50.00%,41.67%,8.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,5,1,0,0,12,3.416,0,0,0,0,0,12,
"",50.00%,41.67%,8.33%,0.00%,0.00%,,,,,,,,,
ISTM-601-700,17,9,4,0,0,30,3.433,0,0,0,1,0,31,BOONE T
"",56.67%,30.00%,13.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,9,4,0,0,30,3.433,0,0,0,1,0,31,
"",56.67%,30.00%,13.33%,0.00%,0.00%,,,,,,,,,
ISTM-610-700,20,0,0,0,0,20,4.000,0,0,0,0,0,20,WHITTEN G
