ARTS-149-700,62,10,0,0,2,74,3.756,0,0,0,1,0,75,SUTHERLAND S
"",83.78%,13.51%,0.00%,0.00%,2.70%,,,,,,,,,
COURSE TOTAL:,62,10,0,0,2,74,3.756,0,0,0,1,0,75,
"",83.78%,13.51%,0.00%,0.00%,2.70%,,,,,,,,,
ARTS-150-701,11,2,0,0,0,13,3.846,0,0,0,0,0,13,LEIDERMAN D
"",84.62%,15.38%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,2,0,0,0,13,3.846,0,0,0,0,0,13,
"",84.62%,15.38%,0.00%,0.00%,0.00%,,,,,,,,,
DCED-202-701,92,4,0,0,0,96,3.958,0,0,0,1,0,97,BERGERON C
"",95.83%,4.17%,0.00%,0.00%,0.00%,,,,,,,,,
DCED-202-702,91,3,0,2,1,97,3.865,1,0,0,0,0,98,ARMSTRONG C
"",93.81%,3.09%,0.00%,2.06%,1.03%,,,,,,,,,
DCED-202-704,90,1,3,2,0,96,3.864,0,0,0,0,0,96,POOLEY-DETWILER A
"",93.75%,1.04%,3.13%,2.08%,0.00%,,,,,,,,,
COURSE TOTAL:,273,8,3,4,1,289,3.896,1,0,0,1,0,291,
"",94.46%,2.77%,1.04%,1.38%,0.35%,,,,,,,,,
PERF-200-200,19,1,0,0,0,20,3.950,0,0,0,0,0,20,QUACKENBUSH AMMONS
"",95.00%,5.00%,0.00%,0.00%,0.00%,,,,,,,,,
PERF-200-G00,50,3,1,1,0,55,3.854,0,0,0,0,0,55,QUACKENBUSH AMMONS
"",90.91%,5.45%,1.82%,1.82%,0.00%,,,,,,,,,
COURSE TOTAL:,69,4,1,1,0,75,3.880,0,0,0,0,0,75,
"",92.00%,5.33%,1.33%,1.33%,0.00%,,,,,,,,,
PERF-201-200,1,2,2,0,0,5,2.800,0,0,0,0,0,5,IMHOFF A
"",20.00%,40.00%,40.00%,0.00%,0.00%,,,,,,,,,
PERF-201-G00,5,14,8,0,0,27,2.888,0,0,0,0,0,27,IMHOFF A
"",18.52%,51.85%,29.63%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,16,10,0,0,32,2.875,0,0,0,0,0,32,
"",18.75%,50.00%,31.25%,0.00%,0.00%,,,,,,,,,
PERF-226-200,12,1,0,0,1,14,3.642,0,0,0,0,0,14,CAMPBELL M
"",85.71%,7.14%,0.00%,0.00%,7.14%,,,,,,,,,
PERF-226-G00,36,11,4,0,0,51,3.627,0,0,0,0,0,51,CAMPBELL M
"",70.59%,21.57%,7.84%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,48,12,4,0,1,65,3.630,0,0,0,0,0,65,
"",73.85%,18.46%,6.15%,0.00%,1.54%,,,,,,,,,
PERF-281-G00,14,12,0,0,0,26,3.538,0,0,0,0,0,26,ADINKU G
"",53.85%,46.15%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,12,0,0,0,26,3.538,0,0,0,0,0,26,
"",53.85%,46.15%,0.00%,0.00%,0.00%,,,,,,,,,
PERF-301-200,16,0,0,0,1,17,3.764,0,0,0,0,0,17,CONNOR W
"",94.12%,0.00%,0.00%,0.00%,5.88%,,,,,,,,,
PERF-301-701,43,5,2,0,0,50,3.820,0,0,0,1,0,51,LAFEVERS C
"",86.00%,10.00%,4.00%,0.00%,0.00%,,,,,,,,,
PERF-301-G00,33,0,0,1,0,34,3.911,0,0,0,0,0,34,CONNOR W
"",97.06%,0.00%,0.00%,2.94%,0.00%,,,,,,,,,
COURSE TOTAL:,92,5,2,1,1,101,3.841,0,0,0,1,0,102,
"",91.09%,4.95%,1.98%,0.99%,0.99%,,,,,,,,,
VIST-205-300,19,6,0,0,0,25,3.760,0,0,0,0,0,25,BUJNOCH E
"",76.00%,24.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,6,0,0,0,25,3.760,0,0,0,0,0,25,
"",76.00%,24.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIST-405-300,9,0,0,0,0,9,4.000,0,0,0,0,0,9,THOMAS A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIST-405-301,6,0,0,0,0,6,4.000,0,0,0,0,0,6,ANDREASSON M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,0,0,0,0,15,4.000,0,0,0,0,0,15,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIST-439-100,3,1,2,0,0,6,3.166,0,0,0,0,0,6,BOLOGAN A
"",50.00%,16.67%,33.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,1,2,0,0,6,3.166,0,0,0,0,0,6,
"",50.00%,16.67%,33.33%,0.00%,0.00%,,,,,,,,,
VIST-485-300,6,0,0,0,0,6,4.000,0,0,0,0,0,6,ANDREASSON M
