CHEN-205-300,0,1,4,0,0,5,2.200,0,0,0,0,0,5,ABDEL-WAHAB A
"",0.00%,20.00%,80.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,0,1,4,0,0,5,2.200,0,0,0,0,0,5,
"",0.00%,20.00%,80.00%,0.00%,0.00%,,,,,,,,,
CHEN-432-900,3,6,0,0,0,9,3.333,0,0,0,0,0,9,SALAMA G
"",33.33%,66.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,6,0,0,0,9,3.333,0,0,0,0,0,9,
"",33.33%,66.67%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,3,7,4,0,0,14,2.818,0,0,0,0,0,14,
"",21.43%,50.00%,28.57%,0.00%,0.00%,,,,,,,,,
ASCC-289-300,9,2,2,0,0,13,3.538,0,0,0,0,0,13,ABBAS N
"",69.23%,15.38%,15.38%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,2,2,0,0,13,3.538,0,0,0,0,0,13,
"",69.23%,15.38%,15.38%,0.00%,0.00%,,,,,,,,,
ENGL-210-301,6,1,0,0,0,7,3.857,0,0,0,0,0,7,QUEEN M
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
ENGL-210-302,21,3,0,0,0,24,3.875,0,0,0,0,0,24,CARSON R
"",87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,27,4,0,0,0,31,3.870,0,0,0,0,0,31,
"",87.10%,12.90%,0.00%,0.00%,0.00%,,,,,,,,,
ENGL-222-300,20,0,0,0,0,20,4.000,0,0,0,0,0,20,PIRZADA T
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,20,0,0,0,0,20,4.000,0,0,0,0,0,20,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ENGL-251-300,24,0,0,0,0,24,4.000,0,0,0,0,0,24,SCOTT B
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,24,0,0,0,0,24,4.000,0,0,0,0,0,24,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
HIST-106-300,13,0,0,0,0,13,4.000,0,0,0,0,0,13,VAN DE LOGT M
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,0,0,0,0,13,4.000,0,0,0,0,0,13,
