VIBS-601-300,1,9,2,0,0,12,2.916,0,0,0,2,0,14,FRANK-CANNON T
"",8.33%,75.00%,16.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,1,9,2,0,0,12,2.916,0,0,0,2,0,14,
"",8.33%,75.00%,16.67%,0.00%,0.00%,,,,,,,,,
VIBS-615-399,6,1,0,0,0,7,3.857,0,0,0,0,0,7,NORMAN K
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,1,0,0,0,7,3.857,0,0,0,0,0,7,
"",85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-633-299,16,2,0,1,0,19,3.736,0,0,0,0,0,19,BUDKE C
"",84.21%,10.53%,0.00%,5.26%,0.00%,,,,,,,,,
COURSE TOTAL:,16,2,0,1,0,19,3.736,0,0,0,0,0,19,
"",84.21%,10.53%,0.00%,5.26%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,23,12,2,1,0,38,3.466,0,0,0,2,0,40,
"",60.53%,31.58%,5.26%,2.63%,0.00%,,,,,,,,,
VLCS-485-313,16,0,0,0,0,16,4.000,0,0,0,0,0,16,COHEN N
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,0,0,0,0,16,4.000,0,0,0,0,0,16,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,16,0,0,0,0,16,4.000,0,0,0,0,0,16,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VTPP-401-150,17,0,0,0,0,17,4.000,0,0,0,0,0,17,WASSER J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,0,0,0,0,17,4.000,0,0,0,0,0,17,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VTPP-420-150,21,0,0,0,0,21,4.000,0,0,0,0,0,21,FAJT V
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,0,0,0,0,21,4.000,0,0,0,0,0,21,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VTPP-485-308,11,0,0,0,0,11,4.000,0,0,0,0,0,11,BLUE MCLENDON A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,0,0,0,0,11,4.000,0,0,0,0,0,11,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VTPP-489-150,9,0,0,0,0,9,4.000,0,0,0,0,0,9,IVANOV I
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VTPP-489-250,10,0,0,0,0,10,4.000,0,0,0,0,0,10,IVANOV I
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,0,0,0,0,19,4.000,0,0,0,0,0,19,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,68,0,0,0,0,68,4.000,0,0,0,0,0,68
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COLLEGE TOTAL:,107,12,2,1,0,122,3.789,0,0,0,2,0,124
"",87.70%,9.84%,1.64%,0.82%,0.00%,,,,,,,,
