AGCJ-105-500,2,8,3,0,0,13,2.923,0,0,0,0,0,13,WALD D
"",15.38%,61.54%,23.08%,0.00%,0.00%,,,,,,,,,
AGCJ-105-501,15,29,9,2,3,58,2.879,0,0,0,3,0,61,WALD D
"",25.86%,50.00%,15.52%,3.45%,5.17%,,,,,,,,,
COURSE TOTAL:,17,37,12,2,3,71,2.887,0,0,0,3,0,74,
"",23.94%,52.11%,16.90%,2.82%,4.23%,,,,,,,,,
AGCJ-281-500,18,17,2,0,1,38,3.342,0,0,0,2,0,40,LEGGETTE H
"",47.37%,44.74%,5.26%,0.00%,2.63%,,,,,,,,,
COURSE TOTAL:,18,17,2,0,1,38,3.342,0,0,0,2,0,40,
"",47.37%,44.74%,5.26%,0.00%,2.63%,,,,,,,,,
AGCJ-306-599,32,3,1,0,1,37,3.756,0,0,0,0,0,37,PEDIGO M
"",86.49%,8.11%,2.70%,0.00%,2.70%,,,,,,,,,
COURSE TOTAL:,32,3,1,0,1,37,3.756,0,0,0,0,0,37,
"",86.49%,8.11%,2.70%,0.00%,2.70%,,,,,,,,,
AGCJ-307-500,7,8,2,1,2,20,2.850,0,0,0,0,0,20,OPAT K
"",35.00%,40.00%,10.00%,5.00%,10.00%,,,,,,,,,
COURSE TOTAL:,7,8,2,1,2,20,2.850,0,0,0,0,0,20,
"",35.00%,40.00%,10.00%,5.00%,10.00%,,,,,,,,,
AGCJ-311-500,10,14,0,0,0,24,3.416,0,0,0,0,0,24,HERBERT B
"",41.67%,58.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,14,0,0,0,24,3.416,0,0,0,0,0,24,
"",41.67%,58.33%,0.00%,0.00%,0.00%,,,,,,,,,
AGCJ-312-501,23,14,7,0,0,44,3.363,0,0,0,0,0,44,MCGRATH P
"",52.27%,31.82%,15.91%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,23,14,7,0,0,44,3.363,0,0,0,0,0,44,
"",52.27%,31.82%,15.91%,0.00%,0.00%,,,,,,,,,
AGCJ-313-901,4,9,3,0,0,16,3.062,0,0,0,2,0,18,LEGGETTE H
"",25.00%,56.25%,18.75%,0.00%,0.00%,,,,,,,,,
AGCJ-313-902,2,8,3,0,0,13,2.923,0,0,0,2,0,15,LEGGETTE H
"",15.38%,61.54%,23.08%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,17,6,0,0,29,3.000,0,0,0,4,0,33,
"",20.69%,58.62%,20.69%,0.00%,0.00%,,,,,,,,,
AGCJ-314-901,9,12,2,0,0,23,3.304,0,0,0,0,0,23,SAUNDERS C
"",39.13%,52.17%,8.70%,0.00%,0.00%,,,,,,,,,
AGCJ-314-902,14,4,2,0,0,20,3.600,0,0,0,0,0,20,SAUNDERS C
"",70.00%,20.00%,10.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,23,16,4,0,0,43,3.441,0,0,0,0,0,43,
"",53.49%,37.21%,9.30%,0.00%,0.00%,,,,,,,,,
AGCJ-366-501,10,10,0,0,0,20,3.500,0,0,0,0,0,20,CHIVVIS J
"",50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,10,0,0,0,20,3.500,0,0,0,0,0,20,
"",50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
AGCJ-404-500,10,2,1,0,0,13,3.692,0,0,0,1,0,14,LEGGETTE H
"",76.92%,15.38%,7.69%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,2,1,0,0,13,3.692,0,0,0,1,0,14,
"",76.92%,15.38%,7.69%,0.00%,0.00%,,,,,,,,,
AGCJ-405-501,13,6,1,0,0,20,3.600,0,0,0,0,0,20,SAUNDERS C
"",65.00%,30.00%,5.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,6,1,0,0,20,3.600,0,0,0,0,0,20,
"",65.00%,30.00%,5.00%,0.00%,0.00%,,,,,,,,,
AGCJ-408-500,17,5,1,0,0,23,3.695,0,0,0,0,0,23,OPAT K
"",73.91%,21.74%,4.35%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,5,1,0,0,23,3.695,0,0,0,0,0,23,
"",73.91%,21.74%,4.35%,0.00%,0.00%,,,,,,,,,
