ANTH-201-500,55,5,3,1,1,65,3.723,0,0,0,1,0,66,SARATHI A
"",84.62%,7.69%,4.62%,1.54%,1.54%,,,,,,,,,
ANTH-201-501,53,8,2,1,0,64,3.765,0,0,0,2,0,66,SARATHI A
"",82.81%,12.50%,3.13%,1.56%,0.00%,,,,,,,,,
ANTH-201-502,24,8,1,0,3,36,3.388,0,0,0,0,0,36,GURSKY S
"",66.67%,22.22%,2.78%,0.00%,8.33%,,,,,,,,,
ANTH-201-599,10,29,21,8,8,76,2.328,0,0,0,17,0,93,ATHREYA S
"",13.16%,38.16%,27.63%,10.53%,10.53%,,,,,,,,,
COURSE TOTAL:,142,50,27,10,12,241,3.244,0,0,0,20,0,261,
"",58.92%,20.75%,11.20%,4.15%,4.98%,,,,,,,,,
ANTH-202-500,9,6,6,0,1,22,3.000,0,0,0,2,0,24,BENTLEY N
"",40.91%,27.27%,27.27%,0.00%,4.55%,,,,,,,,,
ANTH-202-501,10,20,18,7,1,56,2.553,0,0,0,9,0,65,WATERS M
"",17.86%,35.71%,32.14%,12.50%,1.79%,,,,,,,,,
ANTH-202-502,16,9,1,0,1,27,3.444,0,0,0,1,0,28,RADEMAKER K
"",59.26%,33.33%,3.70%,0.00%,3.70%,,,,,,,,,
COURSE TOTAL:,35,35,25,7,3,105,2.876,0,0,0,12,0,117,
"",33.33%,33.33%,23.81%,6.67%,2.86%,,,,,,,,,
ANTH-204-500,46,8,2,1,0,57,3.736,0,0,0,1,0,58,SARATHI A
"",80.70%,14.04%,3.51%,1.75%,0.00%,,,,,,,,,
ANTH-204-501,27,5,1,0,0,33,3.787,0,0,0,1,0,34,SARATHI A
"",81.82%,15.15%,3.03%,0.00%,0.00%,,,,,,,,,
ANTH-204-502,6,18,10,0,0,34,2.882,0,0,0,1,0,35,WHITE J
"",17.65%,52.94%,29.41%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,79,31,13,1,0,124,3.516,0,0,0,3,0,127,
"",63.71%,25.00%,10.48%,0.81%,0.00%,,,,,,,,,
ANTH-205-500,34,1,0,0,0,35,3.971,0,0,0,1,0,36,WANN K
"",97.14%,2.86%,0.00%,0.00%,0.00%,,,,,,,,,
ANTH-205-501,61,3,3,2,1,70,3.728,0,0,0,1,0,71,IZZO V
"",87.14%,4.29%,4.29%,2.86%,1.43%,,,,,,,,,
ANTH-205-502,29,39,6,8,4,86,2.941,0,0,0,5,0,91,LYNCH D
"",33.72%,45.35%,6.98%,9.30%,4.65%,,,,,,,,,
ANTH-205-503,36,42,11,3,1,93,3.172,0,0,0,6,0,99,LYNCH D
"",38.71%,45.16%,11.83%,3.23%,1.08%,,,,,,,,,
ANTH-205-504,9,14,5,1,0,29,3.068,0,0,0,2,0,31,LYNCH D
"",31.03%,48.28%,17.24%,3.45%,0.00%,,,,,,,,,
ANTH-205-505,19,11,1,1,2,34,3.294,0,0,0,0,0,34,PALOMINO BERROCAL R
"",55.88%,32.35%,2.94%,2.94%,5.88%,,,,,,,,,
ANTH-205-508,82,25,10,0,2,119,3.554,0,0,0,1,0,120,WINKING J
"",68.91%,21.01%,8.40%,0.00%,1.68%,,,,,,,,,
ANTH-205-509,88,7,4,2,2,103,3.718,0,0,0,1,0,104,LAPORTE C
"",85.44%,6.80%,3.88%,1.94%,1.94%,,,,,,,,,
ANTH-205-510,53,6,3,1,0,63,3.761,0,0,0,1,0,64,BECKTELL B
"",84.13%,9.52%,4.76%,1.59%,0.00%,,,,,,,,,
ANTH-205-599,52,58,59,18,10,197,2.629,0,0,0,8,0,205,ALVARD M
"",26.40%,29.44%,29.95%,9.14%,5.08%,,,,,,,,,
COURSE TOTAL:,463,206,102,36,22,829,3.268,0,0,0,26,0,855,
"",55.85%,24.85%,12.30%,4.34%,2.65%,,,,,,,,,
ANTH-210-501,51,16,9,0,1,77,3.506,1,0,0,1,0,79,BROOKS C
"",66.23%,20.78%,11.69%,0.00%,1.30%,,,,,,,,,
ANTH-210-502,8,15,10,0,0,33,2.939,0,0,0,1,0,34,JAIN H
