BUSH-101-501,15,1,1,0,0,17,3.823,0,0,0,0,0,17,SHANDLEY R
"",88.24%,5.88%,5.88%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,1,1,0,0,17,3.823,0,0,0,0,0,17,
"",88.24%,5.88%,5.88%,0.00%,0.00%,,,,,,,,,
BUSH-489-501,7,4,0,0,0,11,3.636,0,0,0,0,0,11,SEAWORTH A
"",63.64%,36.36%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,4,0,0,0,11,3.636,0,0,0,0,0,11,
"",63.64%,36.36%,0.00%,0.00%,0.00%,,,,,,,,,
BUSH-631-700,21,2,0,0,0,23,3.913,0,0,0,0,0,23,CORTES K
"",91.30%,8.70%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,2,0,0,0,23,3.913,0,0,0,0,0,23,
"",91.30%,8.70%,0.00%,0.00%,0.00%,,,,,,,,,
BUSH-632-600,20,1,0,0,0,21,3.952,0,0,0,0,0,21,DVIR R
"",95.24%,4.76%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,20,1,0,0,0,21,3.952,0,0,0,0,0,21,
"",95.24%,4.76%,0.00%,0.00%,0.00%,,,,,,,,,
BUSH-635-601,4,11,1,0,0,16,3.187,0,0,0,0,0,16,MORALES-ARILLA J
"",25.00%,68.75%,6.25%,0.00%,0.00%,,,,,,,,,
BUSH-635-602,6,7,1,0,1,15,3.133,0,0,0,1,0,16,LAHEY J
"",40.00%,46.67%,6.67%,0.00%,6.67%,,,,,,,,,
COURSE TOTAL:,10,18,2,0,1,31,3.161,0,0,0,1,0,32,
"",32.26%,58.06%,6.45%,0.00%,3.23%,,,,,,,,,
DEPARTMENT TOTAL:,73,26,3,0,1,103,3.629,0,0,0,1,0,104
"",70.87%,25.24%,2.91%,0.00%,0.97%,,,,,,,,
INTA-302-500,15,19,4,1,0,39,3.230,0,0,0,0,0,39,HELMS B
"",38.46%,48.72%,10.26%,2.56%,0.00%,,,,,,,,,
COURSE TOTAL:,15,19,4,1,0,39,3.230,0,0,0,0,0,39,
"",38.46%,48.72%,10.26%,2.56%,0.00%,,,,,,,,,
INTA-603-700,5,0,0,0,1,6,3.333,0,0,0,0,0,6,RUSSELL R
"",83.33%,0.00%,0.00%,0.00%,16.67%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,1,6,3.333,0,0,0,0,0,6,
"",83.33%,0.00%,0.00%,0.00%,16.67%,,,,,,,,,
INTA-604-700,5,2,0,0,0,7,3.714,0,0,0,0,0,7,RUSSELL R
"",71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,2,0,0,0,7,3.714,0,0,0,0,0,7,
"",71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
