AEGD-604-600,13,0,0,0,0,13,4.000,0,0,0,0,0,13,TRYON K
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,0,0,0,0,13,4.000,0,0,0,0,0,13,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AEGD-607-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,MILLER A
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AEGD-620-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HENNESSY B
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AEGD-626-601,6,0,0,0,0,6,4.000,0,0,0,0,0,6,HENNESSY B
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AEGD-689-600,6,0,0,0,0,6,4.000,0,0,0,0,0,6,SEYED SADRKHANI S
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4.000,0,0,0,0,0,6,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,37,0,0,0,0,37,4.000,0,0,0,0,0,37
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
DDHS-3020-500,7,18,2,1,0,28,3.107,0,0,0,0,0,28,COTTER J
"",25.00%,64.29%,7.14%,3.57%,0.00%,,,,,,,,,
COURSE TOTAL:,7,18,2,1,0,28,3.107,0,0,0,0,0,28,
"",25.00%,64.29%,7.14%,3.57%,0.00%,,,,,,,,,
DDHS-3220-500,15,13,0,0,0,28,3.535,0,0,0,0,0,28,TAHMASBI ARASHLOW M
"",53.57%,46.43%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,13,0,0,0,28,3.535,0,0,0,0,0,28,
"",53.57%,46.43%,0.00%,0.00%,0.00%,,,,,,,,,
DDHS-3310-500,25,3,0,0,0,28,3.892,0,0,0,0,0,28,COWEN B
"",89.29%,10.71%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,25,3,0,0,0,28,3.892,0,0,0,0,0,28,
"",89.29%,10.71%,0.00%,0.00%,0.00%,,,,,,,,,
DDHS-3325-500,3,16,7,1,1,28,2.678,0,0,0,0,0,28,KRAMER P
"",10.71%,57.14%,25.00%,3.57%,3.57%,,,,,,,,,
COURSE TOTAL:,3,16,7,1,1,28,2.678,0,0,0,0,0,28,
"",10.71%,57.14%,25.00%,3.57%,3.57%,,,,,,,,,
DDHS-3340-500,6,8,8,5,1,28,2.464,0,0,0,0,0,28,KRAMER P
"",21.43%,28.57%,28.57%,17.86%,3.57%,,,,,,,,,
COURSE TOTAL:,6,8,8,5,1,28,2.464,0,0,0,0,0,28,
