AERO-201-500,8,17,14,2,0,41,2.756,0,0,0,2,0,43,SHRYOCK K
"",19.51%,41.46%,34.15%,4.88%,0.00%,,,,,,,,,
COURSE TOTAL:,8,17,14,2,0,41,2.756,0,0,0,2,0,43,
"",19.51%,41.46%,34.15%,4.88%,0.00%,,,,,,,,,
AERO-211-500,12,9,12,0,1,34,2.911,0,0,0,1,0,35,SANJUAN MUNOZ J
"",35.29%,26.47%,35.29%,0.00%,2.94%,,,,,,,,,
COURSE TOTAL:,12,9,12,0,1,34,2.911,0,0,0,1,0,35,
"",35.29%,26.47%,35.29%,0.00%,2.94%,,,,,,,,,
AERO-212-500,3,13,16,3,2,37,2.324,0,0,0,1,0,38,GROOT K
"",8.11%,35.14%,43.24%,8.11%,5.41%,,,,,,,,,
COURSE TOTAL:,3,13,16,3,2,37,2.324,0,0,0,1,0,38,
"",8.11%,35.14%,43.24%,8.11%,5.41%,,,,,,,,,
AERO-214-200,6,3,0,0,0,9,3.666,0,0,0,0,0,9,NARAGHI M
"",66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-214-501,9,8,1,0,0,18,3.444,1,0,0,0,0,19,NARAGHI M
"",50.00%,44.44%,5.56%,0.00%,0.00%,,,,,,,,,
AERO-214-502,7,11,1,0,0,19,3.315,0,0,0,0,0,19,NARAGHI M
"",36.84%,57.89%,5.26%,0.00%,0.00%,,,,,,,,,
AERO-214-503,7,10,1,1,0,19,3.210,0,0,0,0,0,19,NARAGHI M
"",36.84%,52.63%,5.26%,5.26%,0.00%,,,,,,,,,
AERO-214-504,8,8,2,0,0,18,3.333,0,0,0,0,0,18,NARAGHI M
"",44.44%,44.44%,11.11%,0.00%,0.00%,,,,,,,,,
AERO-214-505,2,9,7,1,0,19,2.631,0,0,0,0,0,19,LAGOUDAS D
"",10.53%,47.37%,36.84%,5.26%,0.00%,,,,,,,,,
AERO-214-506,6,8,1,5,0,20,2.750,0,0,0,0,0,20,LAGOUDAS D
