EDHP-622-700,9,0,0,0,0,9,4.000,0,0,0,0,0,9,ISBELL T
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4.000,0,0,0,0,0,9,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDHP-632-700,9,0,0,0,0,9,4.000,0,0,0,1,0,10,DICKEY D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4.000,0,0,0,1,0,10,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDHP-633-700,15,0,0,0,0,15,4.000,0,0,0,0,0,15,ARNOLD S
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,0,0,0,0,15,4.000,0,0,0,0,0,15,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-602-650,5,0,0,0,0,5,4.000,0,0,0,0,0,5,MITCHELL B
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4.000,0,0,0,0,0,5,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-608-600,12,1,0,0,0,13,3.923,0,0,0,0,0,13,ARORA S
"",92.31%,7.69%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,1,0,0,0,13,3.923,0,0,0,0,0,13,
"",92.31%,7.69%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-612-601,7,0,0,0,0,7,4.000,0,0,0,0,1,8,REINER D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-612-602,7,0,0,0,0,7,4.000,0,0,0,0,0,7,REINER D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,14,0,0,0,0,14,4.000,0,0,0,0,1,15,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-650-600,12,0,0,0,0,12,4.000,0,0,0,0,0,12,HUSTON D
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,0,0,0,0,12,4.000,0,0,0,0,0,12,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-685-616,13,1,0,0,0,14,3.926,0,0,0,0,0,14,MITCHELL B
"",92.86%,7.14%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-685-624,5,0,0,0,0,5,4.000,0,0,0,0,0,5,MITCHELL B
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,1,0,0,0,19,3.944,0,0,0,0,0,19,
"",94.74%,5.26%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-689-601,11,1,0,0,0,12,3.916,0,0,0,0,0,12,CATALENA L
"",91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,1,0,0,0,12,3.916,0,0,0,0,0,12,
"",91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,,
NEXT-620-600,8,6,1,0,0,15,3.466,0,0,0,3,1,19,BRAKORA K
"",53.33%,40.00%,6.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,6,1,0,0,15,3.466,0,0,0,3,1,19,
"",53.33%,40.00%,6.67%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,113,9,1,0,0,123,3.838,0,0,0,4,2,129
"",91.87%,7.32%,0.81%,0.00%,0.00%,,,,,,,,
COLLEGE TOTAL:,113,9,1,0,0,123,3.838,0,0,0,4,2,129
"",91.87%,7.32%,0.81%,0.00%,0.00%,,,,,,,,
