PHEO-612-698,24,1,0,0,0,25,3.960,0,0,0,0,0,25,CARRILLO G
"",96.00%,4.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,24,1,0,0,0,25,3.960,0,0,0,0,0,25,
"",96.00%,4.00%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-639-601,17,1,0,0,0,18,3.944,0,0,0,0,0,18,CIZMAS L
"",94.44%,5.56%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,1,0,0,0,18,3.944,0,0,0,0,0,18,
"",94.44%,5.56%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-640-600,5,12,6,1,0,24,2.875,0,0,0,0,0,24,PICKENS A
"",20.83%,50.00%,25.00%,4.17%,0.00%,,,,,,,,,
COURSE TOTAL:,5,12,6,1,0,24,2.875,0,0,0,0,0,24,
"",20.83%,50.00%,25.00%,4.17%,0.00%,,,,,,,,,
PHEO-645-600,9,2,0,0,0,11,3.818,0,0,0,0,0,11,MOATS J
"",81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,2,0,0,0,11,3.818,0,0,0,0,0,11,
"",81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-650-699,16,2,0,0,0,18,3.888,0,0,0,1,0,19,VITUCCI E
"",88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,2,0,0,0,18,3.888,0,0,0,1,0,19,
"",88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-655-600,19,0,0,0,0,19,4.000,0,0,0,0,0,19,RHEE J
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,0,0,0,0,19,4.000,0,0,0,0,0,19,
"",100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-679-600,18,4,0,0,0,22,3.818,0,0,0,0,0,22,BENDEN M
"",81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,4,0,0,0,22,3.818,0,0,0,0,0,22,
"",81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-682-601,16,0,0,0,0,16,4.000,0,0,0,0,0,16,DOUPHRATE D
