CHEN-205-500,0,12,8,2,0,22,2.454,0,0,0,1,0,23,ABDEL-WAHAB A
"",0.00%,54.55%,36.36%,9.09%,0.00%,,,,,,,,,
COURSE TOTAL:,0,12,8,2,0,22,2.454,0,0,0,1,0,23,
"",0.00%,54.55%,36.36%,9.09%,0.00%,,,,,,,,,
CHEN-323-500,3,8,7,1,1,20,2.550,0,0,0,0,0,20,NOUNOU M
"",15.00%,40.00%,35.00%,5.00%,5.00%,,,,,,,,,
COURSE TOTAL:,3,8,7,1,1,20,2.550,0,0,0,0,0,20,
"",15.00%,40.00%,35.00%,5.00%,5.00%,,,,,,,,,
CHEN-324-500,6,10,4,3,0,23,2.826,1,0,0,0,0,24,ABDALLA A
"",26.09%,43.48%,17.39%,13.04%,0.00%,,,,,,,,,
COURSE TOTAL:,6,10,4,3,0,23,2.826,1,0,0,0,0,24,
"",26.09%,43.48%,17.39%,13.04%,0.00%,,,,,,,,,
CHEN-364-500,8,7,8,0,0,23,3.000,2,0,0,0,0,25,AL-RAWASHDEH M
"",34.78%,30.43%,34.78%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,7,8,0,0,23,3.000,2,0,0,0,0,25,
"",34.78%,30.43%,34.78%,0.00%,0.00%,,,,,,,,,
CHEN-426-500,16,17,0,0,0,33,3.484,0,0,0,0,0,33,AL-MOHANNADI D
"",48.48%,51.52%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,17,0,0,0,33,3.484,0,0,0,0,0,33,
"",48.48%,51.52%,0.00%,0.00%,0.00%,,,,,,,,,
CHEN-433-900,8,8,0,0,0,16,3.500,0,0,0,0,0,16,SALAMA G
"",50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
CHEN-433-901,8,4,4,0,0,16,3.250,0,0,0,0,0,16,SALAMA G
"",50.00%,25.00%,25.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,12,4,0,0,32,3.375,0,0,0,0,0,32,
"",50.00%,37.50%,12.50%,0.00%,0.00%,,,,,,,,,
CHEN-460-500,8,9,4,0,0,21,3.190,0,0,0,0,0,21,VECHOT L
"",38.10%,42.86%,19.05%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,9,4,0,0,21,3.190,0,0,0,0,0,21,
"",38.10%,42.86%,19.05%,0.00%,0.00%,,,,,,,,,
CHEN-476-500,2,4,0,0,0,6,3.333,0,0,0,0,0,6,AL-RAWASHDEH M
"",33.33%,66.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,2,4,0,0,0,6,3.333,0,0,0,0,0,6,
"",33.33%,66.67%,0.00%,0.00%,0.00%,,,,,,,,,
